Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
IAGON: The ADA Cloud Storage Blockchain,,Maven Capital,4 min read,Jun 9,,7.6K,16 responses
A Poet's Case for Blockchain,,,18 min read,"Jul 7,",2018,2.5K,16 responses
Blockchains versus Traditional Databases,"To understand the difference between a blockchain and a traditional database, it is worth…",Towards Data Science,4 min read,"Feb 11,",2018,1.3K,10 responses
Blockchain Platforms Will Make Us Happier,,HackerNoon.com,4 min read,"Jan 21,",2018,1.6K,12 responses
Blockchain explained: how a 51% attack works (double spend attack),,Good Audience,9 min read,"May 5,",2018,2.1K,13 responses
Blockchain and NFTs in Ember Sword,,EmberSword,6 min read,May 7,,1.2K,41 responses
Blockchain is Memory,,Words That Matter,5 min read,"Dec 7,",2017,2.1K,11 responses
The Blockchain Could Save Legalized Weed. (Stop Rolling Your Eyes.),,OneZero,6 min read,"Nov 27,",2018,1.6K,13 responses
The Past & Future of Blockchain: Where we’re going and why,,Blockchain Capital Blog,10 min read,"May 24,",2019,2K,12 responses
The DFINITY “Blockchain Nervous System”,,The Internet Computer Review,21 min read,"Jan 5,",2017,1.4K,11 responses
Who owns the Blockchain?,,,6 min read,"Jun 26,",2017,1.3K,11 responses
How Blockchain Will Quietly Change Everything,,,5 min read,"Sep 22,",2018,1.6K,9 responses
How does Bitcoin / Blockchain Mining work?,"From logistics to healthcare, from social media to real estate, from the energy sector to the global economy — Blockchain is predicted to transform almost every single industry in the next ten years. Often described as even more revolutionary than…",The Startup,11 min read,"May 4,",2018,2.1K,4 responses
Blockchain Underpinnings: Hashing,,,8 min read,"Jan 13,",2016,1.3K,11 responses
Blockchain’s AOL Moment,Most individuals over the age of 30 witnessed one of the most profound changes in the history of mankind: ubiquitous…,,9 min read,"Jul 28,",2017,504,25 responses
Blockchain 101: A Beginners Guide,,,5 min read,"Jul 24,",2018,703,3 responses
Building a Blockchain: The Grey Paper,"The blockchain hype train is at an all time high! There are countless articles and news stories calling it the greatest invention since the internet. On the other hand, there is an equally large camp saying that although…",HackerNoon.com,12 min read,"Jan 16,",2018,2.2K,4 responses
Blockchains are a data buffet for AIs,Sam Altman recently wrote that we are entering an era of hyperscale technology companies. These companies own massive troves of data with strong network effects around them and they are only getting stronger. Google and Facebook now own almost 70% of internet ad…,,3 min read,"Mar 6,",2017,786,17 responses
3 Ways to Tell If Your Blockchain ICO Is a Scam,,Inc Magazine,3 min read,"Mar 27,",2018,1K,12 responses
In Blockchain We Trust,,MIT Technology Review,12 min read,"Apr 9,",2018,2.2K,5 responses
Como implementar o Blockchain em JavaScript com menos de 80 linhas,,Tableless,6 min read,"Dec 8,",2017,1.2K,8 responses
How To Become A Blockchain Developer With Jimmy Song,,HackerNoon.com,8 min read,"Dec 12,",2017,1.1K,17 responses
WTF is an Enterprise Blockchain?,"Until recently, blockchains have been the domain of developer groups, building protocols to power a…",DigitalBitsOrg,4 min read,"Nov 19,",2018,7K,
The Value of Being Stupid about Blockchain,,ConsenSys Media,6 min read,"Jun 12,",2018,1.8K,15 responses
The Supply Circle: How Blockchain Technology Disintermediates the Supply Chain,,ConsenSys Media,10 min read,"Mar 9,",2016,582,16 responses
Why Is Immutability A Blessing For Recording An Unalterable History On Blockchain?,,,5 min read,"Jul 26,",2018,2.2K,4 responses
"Blockchain Consensus Algorithm: PoW, PoS and Beyond",,DataDrivenInvestor,9 min read,"Nov 12,",2017,1K,5 responses
Cross-Chain Integration: Poolz’s Solution for Interoperable Blockchain Ecosystems,,Poolz,8 min read,"Oct 26,",2020,2.9K,36 responses
New Movie Star Custom Cutie Is Here!,It seems that the movie hero trend among Custom Cuties continues. Today we are celebrating the…,Blockchain Cuties Universe,2 min read,"Jul 5,",2019,367,4 responses
How Artificial Intelligence and Blockchain are set to transform the global immigration sector: The case of Migranet,,Migranet,5 min read,"May 7,",2019,4.1K,2 responses
Item Recycling and Enchanting: Look and Feel Sneak Peeks,,Blockchain Cuties Universe,4 min read,"Dec 3,",2019,621,2 responses
The Short Story of Blockchain,"Bitcoin hit news headlines this week as the price of one unit of the cryptocurrency passed $60,000 for the…",,4 min read,Apr 12,,1.3K,1 response
Here’s what I learned after working for 2 ICOs as a Blockchain Engineer,,Ethereum Developers,9 min read,"Jul 19,",2018,1.8K,10 responses
Why You Should Get Blockchain Certified (Even if You’re Not a Developer),,Coinmonks,6 min read,"Dec 3,",2018,1.1K,11 responses
Blockchain Cuties & Decentraland Giveaway Winners,,Blockchain Cuties Universe,2 min read,"Jun 28,",2019,490,
Blockchain Needs a Killer Use Case,,Coinmonks,5 min read,"Apr 9,",2019,1.94K,19 responses
Current UX Issues of the Blockchain Technology,Emerging technologies require both high value and good UX to be successful. In…,Good Audience,10 min read,"Oct 17,",2018,1.93K,16 responses
What is Blockchain and Smart Contracts? Brief introduction,,Startup Grind,4 min read,"Jun 1,",2017,843,7 responses
Big Inventory Update Coming Soon,"There are a lot of things happening behind the scenes, as we are preparing for the recycling update…",Blockchain Cuties Universe,2 min read,"Oct 11,",2019,396,
Game’s Most Epic Adventure Gets Element Rotation,,Blockchain Cuties Universe,3 min read,"Oct 23,",2019,482,
Earn Zcash while learning about blockchain privacy,,The Coinbase Blog,2 min read,"Feb 15,",2019,1.6K,
Item Recycling Coming Soon,"Since you guys were so excited about the idea of item recycling in Wars of Cutieland, we decided to launch the…",Blockchain Cuties Universe,2 min read,"Sep 5,",2019,425,1 response
Recycling: Item Enchantment Bonuses,We already revealed some information about the resources you will need to enchant your favorite…,Blockchain Cuties Universe,2 min read,"Oct 1,",2019,516,
Notation Capital — LP Memo re: Blockchain,,Notation,14 min read,"Aug 17,",2017,849,5 responses
Finality in Blockchain Consensus,"Today, with the swipe of a credit card, I purchased a delightful matcha green tea (shout out to Asha in Berkeley). Just moments after the swipe, the vendor felt comfortable giving me the tea in exchange for the amount I paid. The vendor was certain that the transaction…",Mechanism Labs,6 min read,"Aug 30,",2018,2K,13 responses
Item Recycling: Tools You Will Need,"As the recycling update is drawing closer, we are here to give you some more details on what’s to…",Blockchain Cuties Universe,2 min read,"Oct 10,",2019,340,
Launch of Two New Blockchain Empowered Cryptocurrencies by Ecosc Private Limited.,,,2 min read,"Feb 20,",2019,1.5K,1 response
What is Harberger Tax & Where Does The Blockchain Fit In?,,,10 min read,"Jul 15,",2018,2.2K,11 responses
Warthog Tribute Coming Soon,Did you know that each Thursday on our Pawecast you can vote for a tribute Cutie? The Cutie who wins the vote…,Blockchain Cuties Universe,3 min read,"Oct 14,",2019,340,
Recycling: Dust and Enchantment,As we continue working on the item recycling system more and more details become available to share with…,Blockchain Cuties Universe,3 min read,"Sep 23,",2019,356,
The Blockchain Effect: Network Effects without Market Power Costs,,MIT Cryptoeconomics Lab,5 min read,"Mar 29,",2018,2.6K,13 responses
,,,,"Aug 4,",2017,1K,6 responses
Synthetic Assets: Bringing Real-World Value with Asset Tokenization on Blockchain,,,4 min read,May 21,,1.5K,1 response
Limits to Blockchain Scalability vs. Holochain,,,9 min read,Jun 12,,2K,11 responses
CUTE Coin Now Supported by Lumi Wallet,"If you have been a Cutieneer for some time, you know all about our friends at Lumi.",Blockchain Cuties Universe,2 min read,"Jul 25,",2019,277,
Tribute Cutie Makeover Coming this Fall,As the game evolves the Cutie art gets better. Cuties get more and more adorable with…,Blockchain Cuties Universe,3 min read,"Sep 25,",2019,547,1 response
"The blockchain isn’t just for web applications, silly rabbit.",,GetScatter,7 min read,"Sep 3,",2018,2.7K,13 responses
Blockchain Could Unlock Vital Funding to Tackle Climate Change,,OneZero,6 min read,"Jan 11,",2019,1.3K,6 responses
The Impact of Blockchain Technology on the Construction Industry,The Construction industry is often cited as ripe for disruption and in the same breath criticized for being slow to embrace the change it apparently so desperately needs. There has been significant research on this…,,10 min read,"Feb 20,",2017,1.4K,25 responses
Hyperledger — Chapter 1 | Blockchain Foundation,,The Startup,14 min read,"Apr 23,",2018,1.6K,6 responses
Lands Presale Is Here!,"Cutieneers, we cannot be more excited. We have arrived at chapter one of the Wars of Cutieland saga and the presale is…",Blockchain Cuties Universe,3 min read,"Jun 13,",2019,413,
How Blockchain Can Help Young Tennis Players,,,4 min read,"Aug 22,",2017,128,4 responses
Race To NEO’s 10K Milestone,NEO was the forth blockchain that we launched Blockchain Cuties on.,Blockchain Cuties Universe,3 min read,"May 22,",2020,209,
Tribute Update Sneak Peeks: Puppy Edition,We are getting closer to a big tribute Cutie update that we announced earlier this fall.,Blockchain Cuties Universe,4 min read,"Nov 8,",2019,367,
What the Blockchain Means for You,,,5 min read,"Jun 9,",2018,765,1 response
Blockchain Getting Closer To Mass Adoption With TRON and Samsung,,Blockchain Cuties Universe,3 min read,"Apr 28,",2020,362,
"Bitcoin history doesn’t repeat, but it often rhymes",,@blockchain,12 min read,Jun 11,,721,6 responses
10 Most Important Blockchain Projects For Making Money,,Yard Couch,7 min read,Aug 3,,1.1K,28 responses
Best Easter Crafts in Cutieland,Crafting is one of our favorite aspects of Blockchain Cuties’ events. It’s super satisfying to gather…,Blockchain Cuties Universe,3 min read,"Mar 24,",2020,288,
Can Blockchains Go Rogue?,,Ocean Protocol,6 min read,"Feb 27,",2018,1.7K,9 responses
5 Thoughts Following Credit Suisse’s 2017 Blockchain & Cryptocurrency Symposium,,Quantum Economics,5 min read,"Oct 16,",2017,988,1 response
Part 2: Networking — Code your own blockchain in less than 200 lines of Go!,,,10 min read,"Feb 7,",2018,1.7K,5 responses
Blockchain Explained in 7 Python Functions,,Towards Data Science,4 min read,"Apr 14,",2018,1K,7 responses
Learn Blockchains using Spreadsheets,,,7 min read,"May 20,",2019,1.4K,5 responses
You Do Not Need Blockchain: Eight Popular Use Cases And Why They Do Not Work,,SmartDec Cybersecurity Blog,12 min read,"Feb 22,",2019,1.4K,30 responses
Season III: Easter’s Unique Adventure,We hope you had a peaceful weekend and are ready for another week in Cutieland.,Blockchain Cuties Universe,4 min read,"Mar 23,",2020,114,
Forever Isn’t Free: The Cost of Storage on a Blockchain Database,,IPDB Blog,13 min read,"Jul 19,",2017,1K,6 responses
VeChain Blockchain Solutions to Enter China’s Tobacco Industry in Force,VeChain’s blockchain + IoT solution to the 1st BAAS to enter China’s Tobacco industry by working with National level government body — State Tobacco Monopoly Administration and China Central Government owned…,,4 min read,"Jan 14,",2018,2.7K,8 responses
Behavioral Mining: Blockchain’s New Rocket Fuel (Part 1),,The Notice Board,10 min read,"Sep 9,",2018,1.1K,8 responses
Earn BAT while trying out the blockchain-friendly Brave browser,,The Coinbase Blog,2 min read,"Feb 7,",2019,1.5K,
Blockchain Cuties Launch On Token Pocket,"We love crypto wallets, that help Cutieneers to play the game wherever they want.",Blockchain Cuties Universe,2 min read,"Jul 19,",2019,626,
Start your own Hyperledger blockchain the Easy Way!,,,10 min read,"Jun 19,",2018,1.1K,14 responses
Learn 95% of Blockchain Technology Basics in this White Paper,,HackerNoon.com,19 min read,"Jan 8,",2018,1.6K,65 responses
Stop Selling your Upside: How Blockchain Can Unlock Value in Real Estate Through Fractional Ownership,The all-or-nothing principles of real estate are over.,Meridio Media,3 min read,"Jan 5,",2018,980,12 responses
Blockchain Applications in Telecommunication,,Good Audience,6 min read,"Oct 26,",2018,2.8K,9 responses
Don’t Put Off Your Recycling,"Since the forge is almost ready for you to start recycling and enchanting your items, we need to discuss some…",Blockchain Cuties Universe,2 min read,"Dec 6,",2019,708,1 response
"The authoritative guide to Blockchain Sharding, part 1",,NEAR Protocol,15 min read,"Dec 6,",2018,2.1K,13 responses
"The War on Crypto & Blockchain by Facebook, Google, and Twitter",,,4 min read,"Nov 5,",2018,2.3K,15 responses
The Ghost Advisors of the Blockchain,,HackerNoon.com,6 min read,"Jun 21,",2018,5.6K,1 response
Blockchain Interoperability Alliance: ICON x Aion x Wanchain,,Hello ICON World,2 min read,"Dec 5,",2017,1.98K,3 responses
Beyond Blockchain:  Simple Scalable Cryptocurrencies,,Holochain,27 min read,"Apr 1,",2016,1.5K,23 responses
Macro Blockchain #1: The End of Aggregation Theory,,Token Economy,9 min read,"Jun 7,",2017,1.7K,11 responses
Building it Better: A Simple Guide to Blockchain Use Cases,,Blockchain at Berkeley,8 min read,"Feb 6,",2018,1.2K,8 responses
Zug ID: Exploring the First Publicly Verified Blockchain Identity,We recently announced our cooperation with the Swiss City of Zug and local development partner ti&m to introduce the world’s first live implementation of a self-sovereign government issued identity on Ethereum. Thus…,uPort,6 min read,"Dec 7,",2017,1.3K,3 responses
Introduction to Blockchain through Cryptoeconomics — Part 1: Bitcoin,"Zubin “zk” Koticha is Head of Research and Development at Blockchain at Berkeley, where he leads the Cryptoeconomics research team. His team are grant recipients of Berkeley SCET Blockchain Lab’s first award…",Blockchain at Berkeley,7 min read,"Jan 27,",2018,1.4K,4 responses
Unsolved Problems in Blockchain Sharding,In the first part of the series we provided motivation for blockchain sharding and…,NEAR Protocol,12 min read,"Dec 13,",2018,2.2K,13 responses
Cardano: Peer-reviewed blockchain for the third-generation — Analysis & Review,,ChainRock,9 min read,"Dec 3,",2017,1.3K,15 responses
Blockchain and Design,,HackerNoon.com,6 min read,"Aug 7,",2017,560,3 responses
NEM Blockchain Faucet and Transactions using ReasonML; Let’s get this bread pt.2🥖😎,,HackerNoon.com,7 min read,"Dec 15,",2018,828,
Berlin Blockchain Guide,,Future Energy Ventures,9 min read,"Mar 21,",2018,2.3K,10 responses
Keepers — Workers that Maintain Blockchain Networks,"Cryptographic tokens, which can represent digital scarcity in various forms, are an amazing use-case of blockchain technology. Tokens can be used to incentivize desired behaviours in decentralized networks. When designed correctly, tokens…",,5 min read,"Aug 5,",2017,1K,10 responses
Product Manager’s guide to Blockchain- Part 3,,,9 min read,"Jul 24,",2017,1.5K,53 responses
What Is a Block in the Blockchain?,,DataDrivenInvestor,5 min read,"Dec 29,",2018,1.5K,7 responses
Code your own Proof of Stake blockchain in Go!,,,12 min read,"Mar 26,",2018,1.2K,12 responses
Virtual Strategy Magazine: The Godfather of Blockchain Alexander Shulgin on ‘Why he is Bullish on Blockchain…,,,12 min read,"Feb 8,",2020,879,
"Blockchain in Healthcare: Opportunities, Challenges, and Applications",,HackerNoon.com,14 min read,"Aug 8,",2018,1.1K,6 responses
F2P GAMES EXPLOSION: A FERTILE GROUND FOR BLOCKCHAIN TECH,,EuroGate Partners,6 min read,"Aug 3,",2018,2.1K,2 responses
Blockchain Applications in Supply Chain,,Good Audience,6 min read,"Sep 3,",2018,1.3K,10 responses
Risk Management and Business Models on NEO Blockchain,"Those of you who have joined a conference where I have been speaking, know that I like to emphasize that NEO is very different from other blockchain platforms in the very core. For those who have not seen any of my presentations; let me…",Neo Smart Economy,6 min read,"Jun 17,",2018,2.1K,6 responses
Blockchain Reward System Done Properly,,,10 min read,"Jun 26,",2020,7.3K,26 responses
On the Scalability of Blockchains,"Bitcoin and Ethereum, the most widely used blockchains, cannot currently support mainstream transaction usage. They are both supporting mainstream investment usage today, but if blockchains ever become useful for anything beyond investment, solutions that allow them to…",The Control,5 min read,"Mar 23,",2018,1.1K,10 responses
What is Blockchain Technology?,Blockchain is one type of database that is different from the normal database. This stores information…,,3 min read,Jun 11,,994,
Blockchain: The mystery of mining difficulty and block time..,Mining difficulty is the degree that determines how hard it is for miners in terms of hashing power (and thus also time) to find an eligible hash aka signature for their block (a block of transactions needs an eligible hash…,Good Audience,7 min read,"Sep 24,",2018,987,12 responses
3 Reasons Why the Blockchain Revolution Is (Finally) Becoming a Reality!,,Startup Grind,12 min read,"May 5,",2017,298,5 responses
SappChat: Providing Safe Communications and Financial Operations on the Blockchain,,,4 min read,Apr 23,,732,
Why I am building a blockchain in Go,GoLang has become a go-to language for developing decentralised systems today. Every other…,Karachain,5 min read,"Nov 8,",2017,1.3K,10 responses
Want to Understand Blockchains? Start Experimenting,,HackerNoon.com,7 min read,"Nov 26,",2017,1.1K,4 responses
Is There A Blockchain For Social Good?,Ethereum consumes over $ 0.7 billion in electricity annually & ranked second dirtiest…,The Startup,4 min read,"Aug 9,",2019,6.1K,2 responses
The Economics of Blockchain Protocols,"Considering the flood of cryptocurrencies on the market in the last years, this commentary tries to examine economic viability of blockchain protocols and cryptocurrencies that are based on them. After the speculative phase of cryptocurrency trade that we are…",,12 min read,"Aug 24,",2017,1K,7 responses
Code a simple P2P blockchain in Go!,,,13 min read,"Apr 14,",2018,1.5K,18 responses
Unhyped comparison of Blockchain Platforms,"Each blockchain platform has a different set of capabilities, but you might not see…",Coinmonks,21 min read,Jan 26,,1.4K,18 responses
The Evolution of Blockchain Games and a Peek at What’s to Come,,Loom Network,24 min read,"Jun 8,",2018,2.7K,8 responses
Blockchain and The Great Game of Attention,,Keeping Stock,13 min read,"Jun 13,",2017,771,8 responses
"Gamers, The Games Industry, and Blockchain","There is a reason why Blizzard, one of Korea’s main video game producers and a…",Playgroundz Official Blog,3 min read,"Nov 28,",2018,1.2K,6 responses
Introducing the Blockchain Token Securities Law Framework,,The Coinbase Blog,1 min read,"Dec 13,",2016,588,7 responses
Intro to Blockchain: How Protocols Work,,All Things Venture Capital,19 min read,"Nov 1,",2018,1K,6 responses
11 Blockchain Startups to Watch in 2018,,,4 min read,"Jan 7,",2018,1.2K,7 responses
Prototyping a Blockchain Smart Contract,,,12 min read,"Sep 28,",2017,1.4K,22 responses
Blockchain Programming in iOS,,,3 min read,"Dec 23,",2017,1K,6 responses
Why Blockchain is a Hammer Looking for a Nail and Where it Might Find it,,HackerNoon.com,4 min read,"Jan 14,",2019,1.4K,20 responses
A Brief History on the Origins of Blockchain,"The story of Bitcoin has become rather prevalent as of late. With the recent popularity in cryptocurrency running wild, there seems to be a neglect of the underlying technology that helps the entire cryptocurrency world function. This technology, while…",,3 min read,"Feb 26,",2018,819,5 responses
7 social media startups powered by blockchain,,HackerNoon.com,7 min read,"Apr 4,",2018,997,7 responses
How to Display Your NFT Collectibles Like NBA Top Shot With Flow and IPFS,,Pinata,8 min read,Mar 4,,170,11 responses
Synapse’s Launch Window in Sight!,,,4 min read,Aug 12,,274,
Announcing $ANRX Trading LIVE on Quickswap!,It is with great excitement that we announce $ANRX trading on the largest Polygon…,,3 min read,Aug 23,,3.4K,
The Global Spark Drop,Here Comes Spark!,Upland,4 min read,Jun 12,,437,1 response
Testnet Launch Give-Away Program,,Fractal,3 min read,Aug 20,,372,1 response
You’re Standing on the Cusp of a New Money Era,,Making of a Millionaire,11 min read,Feb 11,,473,6 responses
Huobi ECO chain is joining the Synapse cross-chain ecosystem!,,,2 min read,Aug 12,,150,2 responses
Token Bonding Curve Design Parameters,,Molecule Blog,10 min read,"Jan 9,",2019,711,1 response
Why Andreessen Horowitz Is Betting Big on NFTs,,Fast Company,3 min read,Jul 21,,250,4 responses
Crypto Investing with $100? Turning It to 1 Million Dollars,,Coinmonks,13 min read,Jul 19,,548,8 responses
Verge Currency Fixes Blockchain Vulnerability,,vergecurrency,4 min read,"Apr 9,",2018,2.2K,8 responses
Blockchain Zero-knowledge Proof In A Nutshell,Today we’re going to talk about a cybersecurity idea in blockchain known as…,Coinmonks,3 min read,"Oct 22,",2018,1.2K,8 responses
Digital Currency and Blockchain: How are Financial Institutions Responding?,,NewCo Shift,9 min read,"Dec 18,",2017,979,1 response
4 Incredible Examples Of How Blockchain Is Changing The Future Of Human Rights,,HackerNoon.com,4 min read,"Nov 18,",2017,978,4 responses
17 blockchain platforms — a brief introduction,,Blockchain Blog,10 min read,"Apr 12,",2017,930,11 responses
China is having honeymoon with Blockchain but crypto remains off limits,"As many people are aware, when doing business in China, the number one thing you must be well informed about is government policy. It is even truer in the cryptocurrency world. Last September, the Chinese…",,3 min read,"Jun 18,",2018,1.4K,8 responses
Invoice Factoring on the Blockchain,"Invoice factoring is a great way for companies to free capital locked up in accounts receivable. By selling invoices to an invoice financing company (known as a factor), a company can immediately claim the majority of the outstanding invoiced amount (roughly 80–85%)…",,4 min read,"Jul 13,",2018,2.5K,31 responses
Lands Update: Recycling Items For A Better Future,,Blockchain Cuties Universe,2 min read,"May 20,",2019,631,2 responses
The Good and Bad Sides of Blockchain for the Current Healthcare Sector,,,6 min read,"Mar 19,",2019,2.3K,3 responses
Gitthereum: เปลี่ยน git ให้เป็น blockchain,,,6 min read,"Aug 28,",2018,631,2 responses
Blockchain and the Journey Toward a New Internet Architecture,,HackerNoon.com,16 min read,"Jan 22,",2018,915,6 responses
Ethereum Blockchain “Hello World” Smart Contract with JAVA,,Coinmonks,19 min read,"Jun 20,",2018,1K,14 responses
Why Blockchain is the Future of Digital Trading (Cryptocurrency),,Upskilling,3 min read,Mar 13,,7.3K,
Blockchain is to Banks <=> TCP/IP is to Telcos,,Mission.org,6 min read,"Jun 11,",2016,242,2 responses
Quantum computers could crack Bitcoin by 2027 — but don’t worry! Time travel could keep your crypto safe …,,Nauticus blockchain,3 min read,"May 31,",2018,2.2K,
Ex-PM: blockchain is the future of AM industry,"By Camilla Giannoni / Citywire.ch / 17 Oct, 2018",Ledgity,2 min read,"Oct 17,",2018,1.6K,1 response
6 Reasons Why You Should Become A Blockchain Engineer,,Coinmonks,15 min read,Jan 6,,966,3 responses
Design Thinking for Blockchains,,Patara,6 min read,"Apr 27,",2018,837,9 responses
Fair Money for All: Basic Income on the Blockchain,,,5 min read,"Feb 4,",2016,528,17 responses
Top 7 Blockchain Technology Trends to Watch in 2019,,HackerNoon.com,5 min read,"Dec 31,",2018,874,7 responses
Six Industries Blockchain Will Infiltrate by 2020,,Cryptocurrency Hub,4 min read,"Sep 25,",2018,1.3K,7 responses
Marketing Strategies and Practices for Blockchain Projects and Startups,,,7 min read,"Jan 19,",2019,1.4K,8 responses
My Favorite Blockchain Application,"Like a lot of other Crypto evangelists, I keynote, or sit on panels, at a lot of Crypto related…",JustStable,5 min read,"Jun 9,",2018,1.8K,5 responses
Asset Tokenization on Blockchain Explained in Plain English,,Coinmonks,4 min read,"May 19,",2018,1K,14 responses
"Introducing Flow, a new blockchain from the creators of CryptoKitties",,Dapper Labs,4 min read,"Sep 12,",2019,2.1K,4 responses
Blockchain Cuties Featured In imToken Wallet,We are absolutely over the moon about being featured in the world’s largest…,Blockchain Cuties Universe,2 min read,"Apr 25,",2019,398,3 responses
New Dark Cuties Mods Update,Blockchain Cuties team works hard. But VeRychard works harder.,Blockchain Cuties Universe,3 min read,"Apr 12,",2019,497,1 response
Is Blockchain Better Than a Database,Blockchain is simply a new type of database. Rather than traditional databases (SQL or NoSQL)…,BlockWorks Group,9 min read,"Sep 7,",2018,574,8 responses
How Do You Launch A Blockchain Game?,Did you ever wonder what it’s like to launch your own crypto game? Or what it takes for a new…,Blockchain Cuties Universe,2 min read,"Feb 25,",2019,665,16 responses
The Future of Blockchain Companies,,Coinmonks,7 min read,"Jan 3,",2019,1.1K,5 responses
"Blockchain Technology Explained: Introduction, Meaning, and Applications",,HackerNoon.com,13 min read,"Aug 1,",2018,1.93K,7 responses
What is blockchain and why is this technology so important?,,ArtiChain,1 min read,May 12,,714,
How Blockchain Will Disrupt Data Science: 5 Blockchain Use Cases in Big Data,,Towards Data Science,7 min read,"Jan 6,",2019,689,6 responses
Polars Platform Partners with Blockchain Cuties Universe,,Polars Platform,3 min read,Apr 21,,541,1 response
Zilliqa: A Game-Changer for Blockchain Scalability?,,HackerNoon.com,9 min read,"Jan 23,",2018,1.3K,8 responses
"How to build the next LinkedIn, but on the blockchain",,Product Hunt,5 min read,"Mar 29,",2019,1.1K,4 responses
VeChain Is Solving One Of Blockchain’s Biggest Problems (But I Don’t Mean Scaling TPS),,Good Audience,4 min read,"Apr 22,",2018,2.5K,3 responses
"The Mattereum Manifesto: green capitalism, product information markets, and the blockchain","We need transparency, accountability and trust to govern the world, and Mattereum will deliver it",Mattereum - Humanizing the Singularity,52 min read,"Sep 14,",2019,1.6K,20 responses
BLOCKCHAIN IN NIGERIA AND HOW COXENA IS PREPARED TO LEVERAGE THE EMERGING MARKET,,,7 min read,Jul 29,,855,
Scaling Blockchains with Apache Kafka,"I’ve been hearing a lot about the “Internet of Blockchains”, which will likely be the…",,10 min read,"Jul 31,",2017,370,9 responses
Should You change Your career and enter the Blockchain space?,,,7 min read,"Nov 5,",2017,958,10 responses
"The Future of Rendering: photons, tokens and next steps towards a blockchain driven metaverse",,RNDR,3 min read,"Aug 30,",2017,881,7 responses
,,Thaler.One,10 min read,"Jun 29,",2018,4.8K,1 response
Why Do I Need a Public and Private Key on the Blockchain?,,WeTrust Blog,3 min read,"Jan 30,",2017,812,13 responses
Defining the VeChainThor Blockchain Consensus — Proof of Authority,,,7 min read,"May 8,",2018,2.9K,4 responses
To Blockchain or To Not Blockchain,,,7 min read,"Aug 29,",2018,889,5 responses
Minter Blockchain Cryptocurrency BIP Now Ranked on CoinGecko,,,2 min read,"Jun 16,",2020,5.6K,36 responses
Is Blockchain Crossing the Chasm?,It has been a great week for cryptocurrencies and blockchain. The prices went up and the media was…,Blockchain Cuties Universe,2 min read,"Apr 7,",2019,420,1 response
Explain me like I’m five: What is Blockchain,,MeetnGreetMe ICO,4 min read,"Mar 14,",2018,454,3 responses
Blockchain is not decentralised,"I keep hearing an opinion that “Bitcoin (or any cryptocurrency, or blockchain in general) is…",Engineering Ideas,6 min read,May 5,,1.1K,24 responses
Blockchain and Ethereum Are Finally Getting Some Killer Apps,,Towards Data Science,5 min read,"Feb 25,",2020,1.1K,5 responses
Six Ways to Use Blockchain in Your Everyday Life,,The Startup,5 min read,"Nov 23,",2018,1.2K,6 responses
EMP 的介绍 (中文 說明字幕),,,2 min read,"Sep 7,",2018,2.1K,
There’s more to decentralisation than blockchains and bitcoin,"As the decentralisation movement grows, I consider the characteristics of decentralisation, what decentralisation is a tactic for, why and what work still needs to happen to re-decentralize the digital world.",,10 min read,"Sep 18,",2018,940,12 responses
Understanding How Artificial Intelligence Can Make Blockchain Safer and Smarter,,HackerNoon.com,8 min read,"Feb 18,",2019,17,2 responses
Fungible vs non-fungible tokens on the blockchain,,0xcert,6 min read,"Apr 26,",2018,1.6K,
Why Blockchain Matters To Enterprise (Hint: It’s Not Because Of Decentralization),,,4 min read,"May 16,",2019,538,9 responses
A Primer on Blockchain Interoperability,,Blockchain Capital Blog,11 min read,"Dec 21,",2018,1K,10 responses
Blockchain Governance Proposal,The purpose of blockchain governance is to make decisions in the best interest of as many people as…,,5 min read,"Oct 15,",2019,2K,15 responses
The Blockchain ecosystem v3: six months after the hype,,,5 min read,"Jun 28,",2018,1.2K,10 responses
What a blockchain for music really means,,Mediachain Blog,8 min read,"Apr 25,",2016,350,6 responses
"This Month in Crypto: Gaming on the blockchain, London School of Economics, Sergey Brin, and more",,The Coinbase Blog,4 min read,"Aug 1,",2018,1K,
Ubex at Blockchain Summit in Zug,,Ubex,3 min read,"May 8,",2018,5.6K,2 responses
Building A Simple Blockchain Data Structure With Python,,Coinmonks,5 min read,"Apr 17,",2018,676,5 responses
"Explaining How Proof of Stake, Proof of Work, Hashing and Blockchain Work Together",,,4 min read,"Jul 20,",2017,1.1K,8 responses
Why Most People Don’t Understand Blockchain Technology,,Cryptoweek,5 min read,"Feb 2,",2019,1.1K,9 responses
ThetaSwap v1 launches as the first decentralized exchange (DEX) for Theta blockchain,,Theta Network,2 min read,Feb 5,,1.7K,6 responses
What Is a Blockchain Oracle?,,Better Programming,6 min read,"Sep 3,",2020,846,2 responses
VeChain CEO Sunny Lu’s blockchain lecture transcript in English,,,10 min read,"Jan 9,",2018,1.6K,7 responses
What does “scalability” really mean in Blockchain?,,VeChain Foundation,17 min read,"May 15,",2019,757,3 responses
Resources I Used to Teach Myself Blockchain Development,,We’ve moved to freeCodeCamp.org/news,5 min read,"Aug 9,",2018,834,8 responses
Create Your Own Blockchain in 30 Minutes,,In Bitcoin We Trust,6 min read,"Jan 22,",2018,1.1K,12 responses
