Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
Functional Programming Patterns: A Cookbook,,We’ve moved to freeCodeCamp.org/news,9 min read,"Jan 24,",2019,1.7K,3 responses
3 Programming Habits to Build Now,"You’re learning to program, and looking for some answers. What skills do you need to develop? What…",Level Up Coding,5 min read,"Oct 8,",2020,1K,5 responses
Functional Programming and the Pipe Function in JavaScript,,Better Programming,6 min read,"Dec 13,",2019,1.2K,8 responses
C# 9 Creeps Closer to Functional Programming,,Young Coder,7 min read,"Sep 28,",2020,661,8 responses
FAQ: Do UX Designers Need to Know Programming and Computer Science?,,UX Planet,7 min read,"Jul 21,",2017,464,8 responses
Dysfunctional programming in Java 2 : Immutability,,,9 min read,"Oct 25,",2018,822,9 responses
What You Need to Know About Asynchronous Programming in JavaScript,,The Startup,11 min read,"Sep 23,",2019,1K,3 responses
Aspect-Oriented Programming Kavramı,,Deniz İrgin Blog,11 min read,"Oct 7,",2013,1K,7 responses
Functional Programming in Swift: An Introduction,,Swift2Go,5 min read,"Dec 4,",2018,757,7 responses
Python Programming in 15 min Part 1,,Towards Data Science,5 min read,"Jul 19,",2017,867,5 responses
Scala Programming — A Skeptic’s Journey,"Like many developers, I cut my teeth on C/C++ and Java. I’ve written a lot of working…",Skedulo Product Development,8 min read,"Oct 29,",2018,1.1K,7 responses
Python 101: Object Oriented Programming part 2,,The Renaissance Developer,5 min read,"Sep 24,",2017,899,6 responses
9 Amazing Articles on Python Programming,,Better Programming,4 min read,"Apr 24,",2019,1K,1 response
Why Visual Programming Doesn’t Suck,"I’m here to tell you that visual programming, and diagrammatic reasoning in particular, is a…",Statebox,8 min read,"Aug 30,",2018,1.6K,10 responses
The Benefits and Pitfalls of Pair Programming in the Workplace,,We’ve moved to freeCodeCamp.org/news,6 min read,"Aug 22,",2017,1.3K,9 responses
The Best Display for Programming?,"[If you’re the kind of person who loves programming on your smallish laptop, you can stop reading…",HackerNoon.com,7 min read,"Jul 8,",2017,1.2K,22 responses
Sanskrit: the first programming language ?,,,3 min read,"Feb 11,",2016,1.7K,15 responses
650 Free Online Programming & Computer Science Courses You Can Start This Summer,,We’ve moved to freeCodeCamp.org/news,24 min read,"May 6,",2019,1.4K,1 response
OOP: Everything you need to know about Object Oriented Programming,,From The Scratch,12 min read,"Mar 21,",2018,1.7K,4 responses
Reactive Programming in JavaScript with RxJS.,"RxJS is JavaScript library for transforming, composing and querying asynchronous…",Bits and Pieces,6 min read,"Oct 20,",2018,1.7K,7 responses
How to get started with Competitive Programming in JavaScript,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jan 10,",2019,2.1K,3 responses
How to Become Fluent in Multiple Programming Languages,,Towards Data Science,9 min read,"Dec 29,",2020,1.4K,20 responses
The Most Elegant Python Object-Oriented Programming,,Towards Data Science,9 min read,"Jul 12,",2020,603,4 responses
Why is Learning Functional Programming So Damned Hard?,,,21 min read,"Nov 30,",2019,1.7K,13 responses
Why I Recycle Programming Problems,Many programmers are given the same advice: solve as many problems as possible. It’s true that…,We’ve moved to freeCodeCamp.org/news,4 min read,"Dec 18,",2018,1.2K,4 responses
Demystifying functional programming (in a real company),,Building Nubank,7 min read,"May 15,",2018,2.2K,5 responses
Mengulik Reactive Programming di Android — bagian 1,,,14 min read,"Jan 5,",2017,1.4K,20 responses
Reactive Programming in the Netflix API with RxJava,,Netflix TechBlog,7 min read,"Feb 4,",2013,1.3K,2 responses
5 Programming Languages You Won’t Likely Be Using by 2030,,Better Programming,4 min read,May 13,,806,33 responses
Vue.js 3: Future-Oriented Programming,,Bits and Pieces,6 min read,"Aug 1,",2019,1.96K,6 responses
Railway Oriented Programming in Kotlin,,ProAndroidDev,7 min read,"Apr 30,",2019,1.6K,11 responses
An Introduction to Asynchronous Programming in Python,,Velotio Perspectives,6 min read,"Aug 24,",2018,1.1K,6 responses
Programming with JS: Merge Sort,,HackerNoon.com,3 min read,"Jul 17,",2017,1.7K,11 responses
Better Programming Style Guide and Suggestions,,Better Programming,5 min read,"Jan 14,",2020,1.6K,6 responses
A Guide to Object-Oriented Programming in JavaScript,,Better Programming,9 min read,"Oct 27,",2019,1.5K,6 responses
Which Programming Language Should Data Scientists Learn First?,,Towards Data Science,6 min read,"Aug 25,",2019,799,11 responses
The Future of Programming is Dependent Types — Programming Word of the Day,"Sometimes it feels like programming languages didn’t really change from the 60s up to now. When I feel that, I often remind myself of the cool tools and features we have now that make our lives easier…",Background Thread,8 min read,"Aug 2,",2018,1.3K,13 responses
Introduction to Quantum Programming,,Towards Data Science,15 min read,"Aug 5,",2019,1.2K,2 responses
Dynamic Programming: An induction approach,Dynamic Programming (DP) is a generic programming technique that uses memorisation in…,,6 min read,"Dec 28,",2018,917,7 responses
Learn JavaScript functional programming from Avengers,,codeburst,5 min read,"Dec 10,",2019,1.5K,3 responses
Fear and Loathing in Lock-Free Programming,,,16 min read,"Oct 9,",2017,1.2K,13 responses
Programming Books that are Actually Fun and Easy to Read,,Dare To Be Better,3 min read,Aug 3,,915,5 responses
Asynchronous Functional Programming Using React Hooks,,Capbase Engineering,5 min read,"Jan 12,",2019,989,9 responses
How many days will it take to master Python programming?,,,2 min read,"May 20,",2018,849,6 responses
Writing a simple e-comm REST API in Go programming language,,,8 min read,"Nov 8,",2017,1.3K,8 responses
Protocol Oriented Programming in Swift,,NSIstanbul,4 min read,"Oct 17,",2017,1.1K,2 responses
(Functional) Object Oriented Programming With Message Passing,,,6 min read,"Dec 8,",2018,1.6K,14 responses
How to visualize the programming language influence graph,,We’ve moved to freeCodeCamp.org/news,16 min read,"Dec 30,",2017,1.2K,1 response
What is the most underestimated programming language?,,Skills Matter,4 min read,"Jan 22,",2019,1.4K,14 responses
An introduction to context-oriented programming in Kotlin,,ProAndroidDev,9 min read,"Dec 30,",2018,1.1K,8 responses
Introduction to Functional Programming in Python,,Better Programming,7 min read,"Dec 16,",2019,803,2 responses
A beginner friendly intro to functional programming,,codeburst,7 min read,"Oct 26,",2017,1.2K,4 responses
Pair programming is hard,,codeburst,4 min read,"Jul 27,",2017,301,13 responses
BOLO: Reverse Engineering — Part 1 (Basic Programming Concepts),,InfoSec Write-ups,11 min read,"Apr 17,",2018,1.1K,5 responses
Java OOP Cheat Sheet — A Quick Guide to Object-Oriented Programming in Java,,Edureka,8 min read,"Aug 14,",2019,652,4 responses
Habit Loops: The Mechanics Of Behaviour Programming,,The Coffeelicious,7 min read,"Dec 14,",2015,344,5 responses
Reinforcement Learning Demystified: Solving MDPs with Dynamic Programming,,,1 min read,"May 19,",2018,2.4K,5 responses
Functional Programming with Kafka Streams and Scala,,ITNEXT,11 min read,"May 15,",2018,853,9 responses
Mac or Windows for programming?,,Mac O’Clock,5 min read,"Mar 14,",2017,915,9 responses
Meta-Programming in Python,,Better Programming,4 min read,"Oct 15,",2019,834,4 responses
Dropbot: a programming superhero,"Our engineering culture is a big part of what makes Dropbox special, and we think we’ve solved some…",,2 min read,"Jan 15,",2016,283,2 responses
The Knights of Functional Programming fight the Imperative Dragon.,,,4 min read,"May 24,",2019,934,9 responses
When To and When Not To Use Functional Programming,,Better Programming,4 min read,Mar 16,,1.2K,18 responses
Three Ways to Generate Ideas for Programming Side Projects,"So you want to get better at a certain language or expand your toolbox, and you’ve heard side it’s good to blog about them or open source the finished(ish) project. Great! But you just don’t know what to work on. Nothing is…",HackerNoon.com,3 min read,"Jul 12,",2017,467,5 responses
Programming Fonts — A List,,,10 min read,"Jun 3,",2018,1.2K,7 responses
Programming with Databases in Python using SQLite,,Analytics Vidhya,11 min read,"Sep 11,",2018,1.1K,6 responses
Teaching Programming is Hard,,Le Wagon,8 min read,"Jul 6,",2017,893,9 responses
Programming Patterns with React Hooks,The introduction of React Hooks has sought a more declarative style of programming and…,JavaScript in Plain English,7 min read,"Aug 31,",2019,891,5 responses
Python Programming in 15 min Part 2,,Towards Data Science,4 min read,"Jul 22,",2017,560,4 responses
What is the best programming language for Machine Learning?,,Towards Data Science,8 min read,"May 5,",2017,1.1K,7 responses
These are the most in demand programming languages in 2021,,,4 min read,Apr 21,,515,19 responses
,,,2 min read,May 14,,436,7 responses
The 3 Worst Pieces of Programming Advice I’ve Ever Heard,,Better Programming,5 min read,Aug 11,,755,9 responses
Getting Started with Quantum Programming,Quantum Computers are starting to slowly become a common term in the tech/physics…,HackerNoon.com,5 min read,"Jul 1,",2018,1.3K,
The Programming Interview Question That Made Me Nope Out Immediately,,Level Up Coding,6 min read,Jan 14,,620,28 responses
"Hello, Functional Programming!",,FUNKTIONAL,6 min read,"Jan 6,",2016,482,7 responses
"Best Resources(for competitive programming,algorithms and data-structures)",,,4 min read,"Nov 7,",2019,1K,5 responses
Four Pillars of Object Oriented Programming (OOP),,,5 min read,"Mar 2,",2018,770,13 responses
I Don’t Like Programming but I Work as a Programmer.,,HackerNoon.com,7 min read,"Jan 16,",2018,1.3K,15 responses
Panduan Komplit Asynchronous Programming pada Javascript — Part #3 Promise,,Coderupa,5 min read,"Oct 31,",2017,1.5K,8 responses
"Introducing ABS, a programming language for shell scripting",,We’ve moved to freeCodeCamp.org/news,4 min read,"Jan 8,",2019,606,7 responses
Using Event Emitter in Node.js for event driven programming (For beginners).,,,6 min read,"May 21,",2019,8.5K,
A Beginner’s Guide on How to Improve Your Programming Skills,,SkillUp Ed,29 min read,"Oct 15,",2019,973,5 responses
Imperative and Declarative Programming,,,5 min read,"Sep 21,",2018,1.2K,5 responses
Learn Python Programming from Scratch in One Hour — Free Video Course,,codeburst,3 min read,"Apr 30,",2018,687,5 responses
Learning Dynamic Programming with a popular coding interview question,,DataSeries,6 min read,"Jun 6,",2019,1.3K,3 responses
Nobody cares whether you used Imperative or Declarative Programming,,JavaScript in Plain English,3 min read,"Feb 3,",2020,677,12 responses
Panduan Komplit Asynchronous Programming pada Javascript — Part #2 Callback,,Coderupa,4 min read,"Aug 12,",2017,980,8 responses
Functional programming paradigms in modern JavaScript: Pure functions,,HackerNoon.com,8 min read,"Nov 8,",2017,1.3K,2 responses
Advantages and Disadvantages of Python Programming Language,,,4 min read,"Apr 24,",2017,947,9 responses
Getting started with Data science in 30 days with R programming : Day 1,,,3 min read,"Dec 19,",2017,1.1K,3 responses
Back to the metal: Top 3 Programming language to develop Big Data frameworks,,Towards Data Science,12 min read,"Jan 26,",2019,936,6 responses
On the Joys of Programming,,Young Coder,6 min read,"Oct 25,",2019,1K,7 responses
JavaScript — Object Oriented Programming using ES6,,codeburst,6 min read,"Apr 1,",2018,1.5K,9 responses
Blockchain Programming in iOS,,,3 min read,"Dec 23,",2017,1K,6 responses
"70 Years Of “Hello, World!” With 50 Programming Languages",,Javarevisited,11 min read,"Nov 13,",2019,1.1K,8 responses
10 Amazing Articles on Python Programming and Machine Learning,,Better Programming,5 min read,"May 13,",2019,664,
How Eve unifies your entire programming stack,"Welcome to Part I of my VI-part series about Eve, an exciting and fascinating…",HackerNoon.com,7 min read,"Nov 21,",2016,222,4 responses
Angular and RxJS Patterns — Use Reactive Programming to Compose and Manage Data in Angular…,,Level Up Coding,5 min read,"Oct 21,",2019,988,4 responses
Fantastic Programming Project Ideas and Where to Find Them (a beginner-friendly version),,Better Programming,12 min read,"Nov 28,",2019,785,3 responses
Is Programming Poetry?,,Words Escape Us,5 min read,"Oct 30,",2015,330,6 responses
If You Want to Become a Better Programmer… Stop Programming,,Better Programming,5 min read,"Oct 15,",2020,817,7 responses
How to make your life easier using functional programming in TypeScript,"Over the last two years, the JavaScript community has been talking about functional programming. Functional programming allows us to build better software without designing complex class trees. Today, I will…",We’ve moved to freeCodeCamp.org/news,4 min read,"Nov 22,",2017,1K,4 responses
The 10 Most Influential Programming Languages of the Last 50 years and Their Creators,,Better Programming,9 min read,"Aug 10,",2019,798,17 responses
4 Unusual Ways to Improve Your Programming Skills,,Better Programming,5 min read,Jan 7,,737,6 responses
A Junior Programmer’s Guide to a Successful Programming Career,,Better Programming,7 min read,"Nov 11,",2019,997,
3 Terrible Programming Features From the Past,,Young Coder,7 min read,Jun 26,,712,28 responses
,,,7 min read,"May 11,",2015,260,
Guide to Functional Swift Programming I Wish I Had Sooner,"If you’ve programmed in Swift, then you’ve probably heard of functional programming and some ugly words like functors and monads. Here’s my take on teaching the world what all that means.",,4 min read,"Feb 11,",2017,1K,6 responses
4 steps to learn programming faster and better (Quarantine Edition),,The Startup,8 min read,"May 17,",2020,941,1 response
Asynchronous Programming in Java,"Hey folks,",,10 min read,Jan 31,,463,1 response
And the Best Programming Language for Data Science goes to…,,,6 min read,"May 29,",2020,777,6 responses
Is Competitive Programming secret to job at Google?,,The Startup,8 min read,"Jun 27,",2020,998,4 responses
Functional Programming in JavaScript: Introduction and Practical Examples,,Better Programming,12 min read,"Oct 16,",2019,1.2K,4 responses
18 Ways to Improve Your Programming,,Better Programming,7 min read,"Nov 5,",2020,1.1K,4 responses
The Story of Object-Oriented Programming,,OmarElgabry's Blog,8 min read,"Oct 25,",2016,896,5 responses
Don’t Choose Your Main Programming Language Before Reading This,,The Startup,4 min read,"Dec 8,",2020,519,14 responses
10 not so intuitive things about programming with R,,Towards Data Science,9 min read,"Aug 19,",2018,525,5 responses
These are the programming languages Tesla uses,Welcome back! These last few weeks we’ve been talking about some of the most…,,4 min read,Apr 22,,567,13 responses
Advanced Android Programming With Kotlin,,Better Programming,7 min read,"Dec 20,",2019,478,5 responses
"The Most Loved, Hated and Wanted Programming Languages",,Better Programming,4 min read,Jun 24,,894,21 responses
Panduan Komplit Asynchronous Programming pada Javascript — Part #4 Async/await,,Coderupa,3 min read,"Nov 1,",2017,725,7 responses
9 Ultimate Programming Jokes,,Level Up Coding,3 min read,May 17,,764,5 responses
4 Esoteric Programming Languages That Will Blow Your Mind,,Better Programming,6 min read,May 11,,709,10 responses
My guiding principles after 20 years of programming,,,5 min read,"Jan 23,",2020,1K,7 responses
Protocol Oriented Programming,,Swift Programming,4 min read,"Feb 3,",2016,196,7 responses
Reactive Programming in Angular,,Nrwl,7 min read,"Apr 25,",2017,465,3 responses
Reactive Programming: An Introduction for Game Developers,"If you are a game developer and haven’t heard of Reactive Programming yet, drop everything you’re doing right now and take a few minutes to read on. I am dead serious.",,10 min read,"Nov 16,",2016,1.2K,6 responses
My intro to Elixir: how learning another programming language can make you a better developer,,We’ve moved to freeCodeCamp.org/news,5 min read,"Dec 4,",2018,750,1 response
Managing Your Time as a Programming College Student,,,9 min read,"Jan 3,",2019,1.5K,12 responses
Programming Languages are not Languages,"In my previous article I talked about how the metaphors used to present a problem, set the…",,7 min read,"Sep 2,",2018,958,10 responses
Functional Programming,,The Renaissance Developer,12 min read,"Oct 29,",2018,972,4 responses
10 Coding Games To Shape Your Programming Skills,,Better Programming,6 min read,May 31,,783,2 responses
Reinforcement Learning vs. Differentiable Programming,,,7 min read,"Apr 16,",2019,555,4 responses
What’s the Best Programming Language to Learn?,,Futurist Zone,6 min read,"Jun 27,",2018,1K,5 responses
42 Projects to Practice Programming Skills,,ITNEXT,13 min read,"Mar 24,",2020,766,10 responses
Chapter 3: What is Object-Oriented Programming?,,Learn How To Program,4 min read,"Jun 5,",2017,803,6 responses
Golang Object-Oriented Programming,,TechnoFunnel,6 min read,"Nov 22,",2019,950,3 responses
Aspect-Oriented Programming in JavaScript,,Bits and Pieces,6 min read,"Dec 2,",2020,918,7 responses
Application programming language,,,5 min read,"Jun 26,",2019,954,2 responses
How Your Favorite Programming Languages Got Their Names,,Better Programming,5 min read,"Aug 25,",2020,592,5 responses
Our 20 Most Popular Programming Articles of 2020,,JavaScript in Plain English,6 min read,"Dec 31,",2020,831,4 responses
A Beginner’s Guide Into Competitive Programming,,Level Up Coding,5 min read,"Jul 29,",2020,656,1 response
Top Programming Languages for AI Engineers in 2021,,Towards Data Science,9 min read,"Mar 17,",2020,522,7 responses
JavaScript is a Dysfunctional Programming Language,,JavaScript Non Grata,5 min read,"Mar 16,",2016,677,34 responses
Introduction to Go Programming Language (GoLang),,RunGo,3 min read,"Jun 30,",2018,680,6 responses
Ultimate Programming Jokes That Will Make You LOL,,Level Up Coding,4 min read,Jul 8,,913,3 responses
物件導向(Object Oriented Programming)概念,,,3 min read,"Jan 3,",2018,1.3K,2 responses
Dynamic Programming: Longest Increasing Subsequence (LIS),,,5 min read,"Feb 3,",2019,363,4 responses
Async Programming in Flutter with Streams,,Better Programming,4 min read,"Aug 28,",2019,942,3 responses
A Systematic Approach to Dynamic Programming,,Better Programming,15 min read,"Aug 9,",2019,639,3 responses
BOLO: Reverse Engineering — Part 2 (Advanced Programming Concepts),,,12 min read,"Apr 23,",2018,638,1 response
Functional Programming for Android Developers — Part 4,,We’ve moved to freeCodeCamp.org/news,6 min read,"Jan 7,",2018,800,6 responses
5 Best Programming Languages to Learn for Cyber Security,,HackerNoon.com,4 min read,"Oct 27,",2018,1.2K,5 responses
Things I’ve learned from pair programming interviews,,We’ve moved to freeCodeCamp.org/news,8 min read,"Apr 6,",2018,1K,6 responses
Naive Infinite scroll in Reactive Programming using RxJS Observables,,HackerNoon.com,4 min read,"Feb 15,",2017,303,8 responses
"Farewell, Better Programming",,Better Programming,2 min read,Apr 6,,1.8K,28 responses
QC — Programming with Quantum Gates (Single Qubits),,,7 min read,"Dec 3,",2018,648,2 responses
Discount offers using Dynamic Programming?,,Myntra Engineering,10 min read,"Jul 19,",2018,863,1 response
8 Big Ideas From 8 Programming Languages,,Better Programming,18 min read,"Nov 21,",2020,627,8 responses
Want to Get Better at Programming?,,Better Programming,6 min read,"May 12,",2020,697,2 responses
My favorite Free Java Programming Courses to learn in 2021,,Javarevisited,12 min read,"Jun 11,",2019,588,5 responses
Functional Programming: Currying vs. Partial Application,,Better Programming,4 min read,"Dec 16,",2019,716,6 responses
8-Minute Crash Course on Kotlin Programming Language.,,Kt. Academy,8 min read,"Sep 14,",2019,470,
Fun Side Projects That You Can Build Today,,Better Programming,6 min read,"Mar 11,",2020,3.6K,9 responses
Data Scientists Will be Extinct in 10 Years,,Towards Data Science,4 min read,May 10,,2.8K,81 responses
Swift — Creating a Custom View From a XIB (Updated for Swift 5),,Better Programming,6 min read,"May 5,",2017,8K,42 responses
3 Years of Kubernetes in Production–Here’s What We Learned,,Better Programming,7 min read,"Sep 9,",2020,2.7K,20 responses
The One and Only Factor That Will Make You a Senior Developer,,The Startup,3 min read,"Jul 23,",2020,4.3K,26 responses
"Ace the coding interview, every time",,,12 min read,"Nov 20,",2014,5.5K,16 responses
21 Best Practices for a Clean React Project,,Better Programming,4 min read,Apr 23,,4.4K,38 responses
7 Apps You Can Definitely Build With These Free APIs,,hashmap,4 min read,"Mar 9,",2020,3.8K,7 responses
5 Habits of Highly Ineffective Remote Workers,,Better Programming,5 min read,Jul 10,,4.2K,68 responses
19 Things You Need to Learn to Become an Effective Angular Developer,,hashmap,10 min read,"Jun 1,",2019,4.3K,20 responses
Python programming concepts that made my code efficient!,,Towards Data Science,5 min read,"Sep 1,",2020,388,2 responses
Introduction To Protocol Oriented Programming,,The Startup,6 min read,"Dec 22,",2018,801,2 responses
Terrible Programming Advice That’s Actually Legit,,CodeX,5 min read,Jul 30,,662,8 responses
Visual Programming & Version Control: Future Considerations,,,8 min read,"Oct 26,",2018,490,
3 Ways to Drastically Improve Your Programming Skills On Your Own,,Towards Data Science,5 min read,May 13,,546,2 responses
The top weekend programming languages — based on GitHub’s activity,,,5 min read,"Feb 10,",2017,334,4 responses
4 Vim Plugins to Boost Your Programming Efficiency,,Better Programming,4 min read,"Dec 5,",2019,372,1 response
Functional programming for deep learning,,Towards Data Science,11 min read,"Jun 30,",2017,769,5 responses
Unlearn programming to learn Ruby,,RubyCademy,3 min read,"Oct 7,",2019,959,9 responses
Nesne Yönelimli Programlama (Object Oriented Programming) Dersleri — 12 Saat Video,,,3 min read,"Dec 29,",2019,827,1 response
"Yes, it’s npx, not npm — the difference explained",,JavaScript in Plain English,2 min read,"Dec 16,",2019,3.9K,7 responses
How to Supercharge Excel With Python,,Towards Data Science,6 min read,"Jan 20,",2020,2.7K,8 responses
A Basic Interview Question: Can You Explain Every Part of a URL?,,Better Programming,3 min read,"Dec 20,",2019,4.1K,12 responses
I tripled my income with data science. Here’s how.,,Towards Data Science,5 min read,Jul 2,,2.5K,20 responses
Trade and Invest Smarter — The Reinforcement Learning Way,,Towards Data Science,19 min read,"Oct 15,",2019,5K,10 responses
7 Cool Python Packages Kagglers Are Using Without Telling You,,Towards Data Science,8 min read,Aug 6,,2.6K,5 responses
How JavaScript works: The building blocks of Web Workers + 5 cases when you should use them,,SessionStack Blog,11 min read,"Jan 26,",2018,5.3K,7 responses
Some awesome modern C++ features that every developer should know,,We’ve moved to freeCodeCamp.org/news,7 min read,"May 8,",2019,4.1K,18 responses
7 Ways to Stay Motivated while Learning to Code,,The Startup,14 min read,"Oct 15,",2018,6.3K,19 responses
Dynamic Programming: From Zero to Hero,"Dynamic programming has an intimidating reputation, but when you get down to it the concepts…",,7 min read,"Feb 10,",2020,407,
6 Essential Things I Wish I Knew When I Started Programming,,Better Programming,6 min read,"Dec 2,",2020,633,3 responses
Types in the Go Programming Language,,Learning the Go Programming Language,9 min read,"Feb 22,",2016,646,3 responses
Programming using Web Assembly,,,6 min read,"Mar 15,",2019,676,4 responses
"Programming and Interviews, and Algorithms, oh my!",,,4 min read,"Oct 21,",2018,414,
Getting started with R Programming,,Towards Data Science,6 min read,"Sep 13,",2019,421,2 responses
Object-Oriented Programming Explained Simply for Data Scientists,,Towards Data Science,11 min read,"Nov 25,",2020,327,3 responses
Programming is About to Change Forever,,JavaScript in Plain English,6 min read,Jul 4,,622,27 responses
25 Programming Jokes That Will Make You Laugh,,JavaScript in Plain English,4 min read,"Dec 19,",2020,361,3 responses
Programming Binary Search,,,7 min read,"Jun 17,",2019,677,6 responses
"Pair Programming: The Good, The Bad, and The Ugly",,The Non-Traditional Developer,6 min read,"May 30,",2019,674,8 responses
Functional Programming VS Object Oriented Programming (OOP) Which is better….?,,,5 min read,"Jul 9,",2019,621,7 responses
Dynamic Programming for the confused : Rod cutting problem,"I have always struggled with optimization problems. They can be hard to wrap your mind around from just the code. Hence, from my learning , I decided to write series of posts dealing with classic dynamic programming problems. Rod…",,5 min read,"Feb 13,",2017,795,8 responses
Best keyboards for programming in 2021,,,7 min read,Apr 12,,301,28 responses
Top 5 Programming Languages to learn in 2021,,JavaScript in Plain English,4 min read,Jan 6,,416,16 responses
The One Programming Language to Rule Them All,,Easyread,5 min read,"Mar 27,",2019,421,8 responses
The Perfect Programming Interview Problem,Programming Interviews are hard!,We’ve moved to freeCodeCamp.org/news,21 min read,"Nov 13,",2018,901,6 responses
Dysfunctional programming in Java 3 : Functional Composition,,,11 min read,"Oct 25,",2018,498,2 responses
Protocol-Oriented Programming in Swift,In this post we are going to take a look at some common issues with application design…,iOS App Development,8 min read,"Feb 2,",2016,466,2 responses
"Option, Either, State, and IO: Imperative programming in a functional world",,disney-streaming,12 min read,"Nov 8,",2018,464,2 responses
How to wrap your imperative brain around functional reactive programming in RxJava,,AndroidPub,12 min read,"Apr 13,",2017,351,1 response
Dynamic programming deep-dive: Chain Matrix Multiplication,,,10 min read,"Apr 25,",2019,539,4 responses
How to choose a programming language?,,Kamil Lelonek  - Software Engineer,9 min read,"Feb 7,",2019,462,4 responses
"Imperative vs. Declarative Programming (procedural, functional, and OOP)",,,8 min read,"Jan 12,",2020,724,6 responses
Top 10 Dynamic programming problems for interviews,,Techie Delight,1 min read,"Dec 12,",2018,796,3 responses
Programming a Quantum Computer,,Towards Data Science,6 min read,"Apr 12,",2020,373,4 responses
From Java Programming Language to Kotlin — the idiomatic way,,Android Developers,2 min read,"Jul 9,",2019,496,4 responses
How Swift Developers Should Be Using Protocol Oriented Programming,,Swift Development,5 min read,"Dec 2,",2020,740,4 responses
Solving the Target Sum problem with dynamic programming and more,,The Startup,7 min read,"Jul 22,",2019,444,1 response
A cup of Go’s concurrent programming for Python developers,,Dev bits,17 min read,"Feb 10,",2018,714,8 responses
Introduction to Solidity Programming and Smart Contracts (For Complete Beginners),,Coinmonks,13 min read,"Aug 5,",2018,1K,13 responses
Basic building blocks of Functional reactive programming(FRP): IOS,,,10 min read,"Mar 13,",2018,915,1 response
A streaming library with a superpower: FS2 and functional programming,,We’ve moved to freeCodeCamp.org/news,9 min read,"Nov 20,",2018,660,4 responses
"The Inside Story of Visual Basic, the Programming Language That Made Windows Possible",,OneZero,8 min read,"Dec 4,",2019,952,10 responses
Condition-Orientated Programming,"Condition-Orientated Programming (COP) is subdomain of contract-orientated programming, and sits as a hybrid approach between functional and imperative programming. Done properly it is a tool in your arsenal for writing safe, secure contracts. It helps make your contract…",,6 min read,"Jun 27,",2016,433,17 responses
10 Hilarious Programming Jokes to Make You Go ROFL,,Level Up Coding,6 min read,Jun 1,,698,2 responses
Integer Programming in Python,,Towards Data Science,6 min read,"Mar 9,",2018,816,8 responses
Here’s how I Learned Just Enough Programming for Data Science,,Towards Data Science,5 min read,"Aug 2,",2020,325,1 response
A Bird’s Eye View of Functional Programming,,Making Internets,7 min read,"Oct 31,",2015,217,2 responses
How to Avoid Common Difficulties in Your Data Science Programming Environment,,Towards Data Science,9 min read,"Jul 13,",2019,479,2 responses
Singular Value decomposition (SVD) in recommender systems for Non-math-statistics-programming wizards,"This is an attempt to give some intuition behind SVD usage and recommender systems. So this article is not a mathematical doctrine, or a research paper…",,4 min read,"Dec 24,",2016,482,5 responses
Functional programming concepts explained in JavaScript,,Valtech Switzerland,15 min read,"Nov 5,",2018,1.1K,3 responses
If Programming Languages ​​Were Armies,,JavaScript in Plain English,4 min read,Mar 20,,485,4 responses
Learning programming should not be hard,,UX Collective,9 min read,"Feb 6,",2018,1.2K,5 responses
Why You Need a Programming Checklist,,Level Up Coding,5 min read,"Dec 2,",2020,492,4 responses
The Problem With Pair Programming,,,3 min read,"Feb 7,",2018,677,2 responses
A writer’s journey into programming,This time last year I was laid off. I had been working as a content writer for a local radio…,Level Up Coding,8 min read,"Oct 23,",2018,701,4 responses
If I were to invent a programming language for the 21st century,,HackerNoon.com,8 min read,"May 21,",2017,207,9 responses
Building complex apps in Flutter through the power of reactive programming,,Prime Holding JSC,8 min read,"Dec 4,",2020,395,
Backend-in-the-frontend: a pattern for cleaner code,,HackerNoon.com,9 min read,"Jun 28,",2018,4.5K,21 responses
5 HTML Tricks Nobody is Talking About,,JavaScript in Plain English,5 min read,Feb 14,,2.6K,17 responses
You don’t (always) need [weak self],,Archived — Flawless iOS,13 min read,"Jun 17,",2019,7.6K,14 responses
From Java 8 to Java 15 in Ten Minutes,This blog will give you samples of awesome new feature added since Java 7. I’ll showcase at…,The Startup,7 min read,Jan 18,,2.1K,16 responses
Bookmark this if you are new to Python (especially if you self-learn Python),,Towards Data Science,4 min read,"Apr 11,",2020,1.94K,5 responses
Making sense all of those Flutter Providers,,Flutter Community,11 min read,"Oct 31,",2019,5.8K,23 responses
I created my own YouTube algorithm (to stop me wasting time),,Towards Data Science,9 min read,"Nov 23,",2020,2.6K,32 responses
You Should Start Using FastAPI Now,,Towards Data Science,5 min read,"May 30,",2020,2.6K,14 responses
"Reversing a Linked List: Easy as 1, 2, 3",,Outco,9 min read,"Aug 9,",2018,2.9K,22 responses
Top 15 Python Packages You Must Try,,Python Land,9 min read,Mar 2,,1.7K,6 responses
Dart asynchronous programming: Futures,One of the most basic APIs that Dart has for asynchronous programming is futures — objects…,Dart,8 min read,"Sep 18,",2019,594,3 responses
"Functional Programming in JavaScript: Functions, Composition and Currying",,Bits and Pieces,9 min read,"Aug 12,",2020,637,4 responses
"Programming language that rules the Data Intensive (Big Data, Fast Data) frameworks",,Towards Data Science,11 min read,"Jan 7,",2019,514,2 responses
